Player		 Dealer	 Stand	 Hit	 Double	 Split	
8 9 		9	965	959	None	None	
8 9 		10	951	934	None	None	
8 9 		A	936	935	None	None	
8 10 		2	995	937	None	None	
8 10 		3	1005	933	None	None	
8 10 		4	1023	938	None	None	
8 10 		5	1026	931	None	None	
8 10 		6	1033	939	None	None	
8 10 		7	1049	941	None	None	
8 10 		8	1006	935	None	None	
8 10 		9	995	950	None	None	
8 10 		10	960	927	None	None	
8 10 		A	967	929	None	None	
8 A 		2	1041	1016	None	None	
8 A 		3	1041	1011	None	None	
8 A 		4	1031	1005	None	None	
8 A 		5	1037	1014	None	None	
8 A 		6	1055	1017	None	None	
8 A 		7	1045	1007	None	None	
8 A 		8	1060	1019	None	None	
8 A 		9	1027	979	None	None	
8 A 		10	983	971	None	None	
8 A 		A	976	950	None	None	
9 2 		2	978	1042	1070	None	
9 2 		3	988	1028	1072	None	
9 2 		4	970	1034	1052	None	
9 2 		5	962	1015	1044	None	
9 2 		6	976	1023	1064	None	
9 2 		7	964	1030	1072	None	
9 2 		8	942	1024	1028	None	
9 2 		9	928	1019	1006	None	
9 2 		10	938	1018	1026	None	
9 2 		A	916	986	928	None	
9 3 		2	986	992	None	None	
9 3 		3	980	971	None	None	
9 3 		4	978	976	None	None	
9 3 		5	978	970	None	None	
9 3 		6	1000	999	None	None	
9 3 		7	958	974	None	None	
9 3 		8	958	982	None	None	
9 3 		9	956	968	None	None	
9 3 		10	942	946	None	None	
9 3 		A	928	963	None	None	
9 4 		2	974	961	None	None	
9 4 		3	958	972	None	None	
9 4 		4	986	974	None	None	
9 4 		5	994	984	None	None	
9 4 		6	984	995	None	None	
9 4 		7	954	1000	None	None	
9 4 		8	944	945	None	None	
9 4 		9	936	954	None	None	
9 4 		10	938	949	None	None	
9 4 		A	916	946	None	None	
9 5 		2	970	962	None	None	
9 5 		3	970	964	None	None	
9 5 		4	960	954	None	None	
9 5 		5	988	971	None	None	
9 5 		6	998	982	None	None	
9 5 		7	940	969	None	None	
9 5 		8	956	951	None	None	
9 5 		9	946	963	None	None	
9 5 		10	946	954	None	None	
9 5 		A	936	942	None	None	
9 6 		2	974	964	None	None	
9 6 		3	966	973	None	None	
9 6 		4	994	964	None	None	
9 6 		5	976	969	None	None	
9 6 		6	1000	978	None	None	
9 6 		7	956	967	None	None	
9 6 		8	956	956	None	None	
9 6 		9	944	945	None	None	
9 6 		10	950	945	None	None	
9 6 		A	928	947	None	None	
9 7 		2	964	947	None	None	
9 7 		3	966	960	None	None	
9 7 		4	976	945	None	None	
9 7 		5	994	959	None	None	
9 7 		6	984	946	None	None	
9 7 		7	960	963	None	None	
9 7 		8	936	958	None	None	
9 7 		9	950	945	None	None	
9 7 		10	938	953	None	None	
9 7 		A	920	933	None	None	
9 8 		2	994	942	None	None	
9 8 		3	993	937	None	None	
9 8 		4	1003	963	None	None	
9 8 		5	1007	947	None	None	
9 8 		6	993	930	None	None	
9 8 		7	991	950	None	None	
